qid	r1	r2	Controversial question
3	1.5	1.75	FALSE
19	1.5	2.0	FALSE
30	1.8	2.6	FALSE
31	3.6	4.2	FALSE
32	3.2	4.0	FALSE
57	1.6	3.2	FALSE
71	4.0	4.8	TRUE
74	1.8	3.6	FALSE
85	1.0	2.4	FALSE
111	2.5	2.5	FALSE
129	2.0	2.8	FALSE
159	3.8	4.4	FALSE
160	3.6	3.8	FALSE
173	1.2	2.6	FALSE
199	1.4	2.4	FALSE
244	3.8	4.2	FALSE
247	3.6	4.4	FALSE
251	2.333333333333330	4.0	FALSE
283	2.8	2.4	FALSE
292	2.0	2.8	FALSE
294	1.8	3.8	FALSE
310	3.4	3.2	FALSE
311	1.8	3.6	FALSE
312	1.6	3.8	FALSE
314	1.0	1.75	FALSE
343	1.0	2.25	FALSE
371	1.8888888888888900	2.833333333333330	FALSE
386	1.0	1.0	FALSE
401	1.6	3.0	FALSE
402	1.6	3.0	FALSE
407	3.8	4.4	FALSE
408	3.8	4.4	FALSE
419	3.4	3.8	FALSE
425	2.5	3.25	FALSE
457	1.0	1.5	FALSE
489	1.6	2.8	FALSE
490	1.6	1.8	FALSE
499	2.75	3.25	FALSE
511	1.25	3.5	FALSE
517	1.2	2.4	FALSE
519	1.0	1.4	FALSE
546	1.0	3.4	FALSE
559	2.0	1.8	FALSE
568	1.8	4.2	FALSE
589	1.0	1.0	FALSE
590	1.8888888888888900	3.888888888888890	FALSE
598	3.3	3.9	FALSE
607	3.2	3.8	FALSE
643	2.0	3.0	FALSE
651	1.8	1.8	FALSE
676	1.4	2.8	FALSE
686	2.0	4.8	FALSE
702	1.8	2.8	FALSE
731	4.0	4.8	TRUE
734	3.0	4.2	FALSE
758	1.25	1.75	FALSE
824	3.4	4.2	FALSE
855	2.2	4.0	FALSE
869	2.0	3.0	FALSE
877	1.8	3.4	FALSE
890	1.4	3.2	FALSE
898	2.0	3.4	FALSE
905	1.8571428571428600	2.7142857142857100	FALSE
918	1.6	2.6	FALSE
960	2.2	2.8	FALSE
983	3.0	3.6	FALSE
991	1.5	1.75	FALSE
1002	4.533333333333330	4.8	TRUE
1032	2.2	3.8	FALSE
1042	3.2	4.0	FALSE
1059	4.6	4.6	TRUE
1063	3.8	4.4	FALSE
1066	2.333333333333330	3.333333333333330	FALSE
1073	2.6	3.2	FALSE
1084	4.0	4.0	TRUE
1100	2.6	4.0	FALSE
1108	1.8	3.6	FALSE
1114	1.2	2.2	FALSE
1123	1.6	2.4	FALSE
1132	3.8	4.4	FALSE
1142	1.8	2.2	FALSE
1144	3.8	3.6	FALSE
1158	2.2	3.2	FALSE
1178	4.35	4.55	TRUE
1179	3.5	3.5	FALSE
1182	1.9	2.8	FALSE
1183	2.4	3.4	FALSE
1193	1.2	2.4	FALSE
1194	3.0	3.5	FALSE
1195	2.25	3.5	FALSE
1198	1.8	3.0	FALSE
1202	1.6	3.4	FALSE
1206	1.4666666666666700	2.2	FALSE
1214	4.066666666666670	4.4	TRUE
1225	1.0	3.2	FALSE
1241	1.6	3.2	FALSE
1258	1.0	2.4	FALSE
1272	3.6	4.2	FALSE
1284	1.8	3.333333333333330	FALSE
1322	1.2	2.2	FALSE
1327	4.0	4.4	TRUE
1328	4.6	4.8	TRUE
1375	1.0	3.4	FALSE
1410	3.8	4.4	FALSE
1436	2.6	4.0	FALSE
1438	1.4	1.6	FALSE
1448	3.2	4.0	FALSE
1449	3.8	4.4	FALSE
1461	3.6	4.2	FALSE
1465	2.2	3.4	FALSE
1472	2.6	3.2	FALSE
1529	1.2	1.2	FALSE
1540	4.0	4.4	TRUE
1550	2.0	3.8	FALSE
1557	4.0	4.6	TRUE
1565	4.6	4.8	TRUE
1587	1.0	3.2	FALSE
1605	1.0	1.8	FALSE
1608	2.2	3.6	FALSE
1631	1.4	2.6	FALSE
1678	4.2	4.6	TRUE
1682	1.2	3.2	FALSE
1699	3.2	3.0	FALSE
1717	1.8	2.6	FALSE
1723	3.6	4.0	FALSE
1734	4.4	5.0	TRUE
1749	1.7857142857142900	3.4285714285714300	FALSE
1756	3.0	2.4	FALSE
1757	1.6666666666666700	1.6666666666666700	FALSE
1765	1.4	4.0	FALSE
1779	1.5	1.875	FALSE
1792	1.2	1.6	FALSE
1807	1.6	2.0	FALSE
1811	2.5	3.0	FALSE
1812	1.6	2.4	FALSE
1816	2.8	3.8	FALSE
1829	2.75	3.0	FALSE
1841	1.6111111111111100	2.1666666666666700	FALSE
1842	1.0	1.0	FALSE
1859	1.2	2.8	FALSE
1863	4.642857142857140	4.714285714285710	TRUE
1870	1.4	1.6	FALSE
1903	4.6	4.8	TRUE
1904	5.0	5.0	TRUE
1910	2.4	3.0	FALSE
1932	2.8	3.2	FALSE
1950	3.2	4.4	FALSE
1961	2.6	2.8	FALSE
1962	1.2	2.2	FALSE
1970	1.0	1.8	FALSE
1977	4.2	4.2	TRUE
1978	4.6	4.4	TRUE
1984	2.5	3.5	FALSE
1991	1.4	2.4	FALSE
2010	3.6	4.2	FALSE
2020	2.0	4.2	FALSE
2044	1.2	2.2	FALSE
2068	1.2	2.2	FALSE
2093	3.2	4.0	FALSE
2151	1.6	2.8	FALSE
2152	1.4285714285714300	4.142857142857140	FALSE
2153	1.25	3.0	FALSE
2157	2.8	3.8	FALSE
2175	4.8	4.9	TRUE
2187	1.0	2.2	FALSE
2198	2.6	3.4	FALSE
2204	1.6	3.4	FALSE
2215	2.0	3.6666666666666700	FALSE
2250	3.0	3.8	FALSE
2266	1.0	1.8	FALSE
2270	4.2	4.0	TRUE
2286	1.8	2.0	FALSE
2291	2.0	3.6	FALSE
2304	1.4	3.6	FALSE
2310	1.0	3.2	FALSE
2370	1.4	3.0	FALSE
2389	1.2	3.8	FALSE
2399	1.8	4.2	FALSE
2404	1.0	1.2	FALSE
2420	2.8	4.4	FALSE
2437	2.4	3.6	FALSE
2443	3.8	4.3	FALSE
2446	4.0	4.4	TRUE
2457	3.8	4.4	FALSE
2470	2.8	4.2	FALSE
2494	1.4	2.4	FALSE
2532	2.6	3.4	FALSE
2559	3.0	4.2	FALSE
2561	1.5	2.6	FALSE
2574	1.2	2.4	FALSE
2580	1.6	3.0	FALSE
2607	1.0	2.6	FALSE
2619	1.2	2.2	FALSE
2634	1.0	2.2	FALSE
2636	3.8	4.8	FALSE
2637	4.4	4.6	TRUE
2654	1.4444444444444400	1.5555555555555600	FALSE
2656	4.1	4.5	TRUE
2675	2.0	4.1	FALSE
2680	1.6	2.4	FALSE
2683	5.0	5.0	TRUE
2704	1.6	2.0	FALSE
2706	1.0	1.8	FALSE
2711	1.4	2.8	FALSE
2713	2.6	3.6	FALSE
2740	2.6	2.2	FALSE
2741	4.6	4.6	TRUE
2770	1.8	2.0	FALSE
2773	1.4	3.0	FALSE
2779	1.0	1.0	FALSE
2820	3.6	4.2	FALSE
2821	4.4	4.6	TRUE
2828	3.6	4.2	FALSE
2856	1.2	1.6	FALSE
2869	1.0	2.6	FALSE
2880	2.0	4.2	FALSE
2895	1.0	1.2	FALSE
2926	3.6	3.6	FALSE
2927	1.0	1.6	FALSE
2943	2.6	4.6	FALSE
2944	4.8	4.8	TRUE
2980	1.2	2.2	FALSE
2997	1.8	3.8	FALSE
2998	2.6	3.6	FALSE
3034	1.4	2.7	FALSE
3042	3.8	4.6	FALSE
3043	2.8	3.4	FALSE
3098	4.2	4.8	TRUE
3105	2.2	3.6	FALSE
3117	3.0	3.8	FALSE
3121	1.6	3.2	FALSE
3156	3.8	4.5	FALSE
3158	1.4	2.0	FALSE
3200	1.6	2.8	FALSE
3216	1.2	2.2	FALSE
3221	1.4	2.8	FALSE
3230	3.2	4.2	FALSE
3231	3.8	3.6	FALSE
3248	1.4	1.6	FALSE
3260	2.1	3.6	FALSE
3267	4.2	4.6	TRUE
3292	1.8	2.2	FALSE
3293	2.0	3.25	FALSE
3295	1.6666666666666700	2.2666666666666700	FALSE
3301	2.2	2.0	FALSE
3329	3.8	4.4	FALSE
3330	4.466666666666670	4.666666666666670	TRUE
3336	3.8	4.4	FALSE
3344	1.0	2.333333333333330	FALSE
3349	1.4444444444444400	2.5	FALSE
3358	4.6	4.6	TRUE
3375	1.6	1.6	FALSE
3376	1.4	2.2	FALSE
3377	1.2	2.2	FALSE
3388	3.0	3.4	FALSE
3405	1.75	2.0	FALSE
3412	4.0	4.2	TRUE
3441	1.4	2.2	FALSE
3471	3.6	4.0	FALSE
3484	1.2	3.0	FALSE
3506	1.4	2.2	FALSE
3507	2.0	4.8	FALSE
3512	1.8	2.4	FALSE
3524	2.4	3.8	FALSE
3525	2.2	3.0	FALSE
3541	2.2	2.2	FALSE
3544	2.0	4.2	FALSE
3596	2.2	3.2	FALSE
3614	1.8	2.4	FALSE
3632	2.142857142857140	2.2857142857142900	FALSE
3661	4.3	4.6	TRUE
3665	1.4	1.6	FALSE
3686	1.6	2.2	FALSE
3701	4.0	4.2	TRUE
3707	1.8	2.6	FALSE
3749	4.2	4.6	TRUE
3763	3.8	4.4	FALSE
3774	1.2	2.2	FALSE
3788	1.2	1.8	FALSE
3883	1.6	2.4	FALSE
3908	1.0	2.4	FALSE
3945	3.2	3.4	FALSE
3955	1.6666666666666700	3.0	FALSE
3963	1.6	3.0	FALSE
3978	3.2	3.2	FALSE
3990	1.0	1.4	FALSE
3999	3.8	4.2	FALSE
4017	1.1428571428571400	2.857142857142860	FALSE
4018	1.25	2.5	FALSE
4033	1.8	3.0	FALSE
4039	1.6666666666666700	3.333333333333330	FALSE
4044	1.6	3.0	FALSE
4047	2.9	4.4	FALSE
4084	1.6	1.8	FALSE
4111	1.6	1.4	FALSE
4137	3.2	4.2	FALSE
4139	1.0	1.6	FALSE
4150	2.4	3.6	FALSE
4151	2.0	4.0	FALSE
4152	2.6	3.2	FALSE
4167	1.6	3.0	FALSE
4169	1.6	3.4	FALSE
4234	1.2	2.0	FALSE
4242	2.0	2.4	FALSE
4250	2.0	3.2	FALSE
4264	2.0588235294117600	3.294117647058820	FALSE
4268	3.4	4.4	FALSE
4284	2.0	2.8	FALSE
4285	1.4	2.5	FALSE
4290	2.15	3.55	FALSE
4297	4.8	4.8	TRUE
4304	2.0	3.6	FALSE
4305	3.6	3.6	FALSE
4310	1.8	3.4	FALSE
4322	1.6	3.8	FALSE
4324	1.4	2.8	FALSE
4331	3.4	4.4	FALSE
4370	3.2	4.6	FALSE
4399	1.8	2.4	FALSE
4419	3.4	4.6	FALSE
4423	4.4	4.6	TRUE
4424	4.4	4.6	TRUE
4429	2.4	3.2	FALSE
4450	3.4	4.6	FALSE
4462	2.0	3.2	FALSE
4483	2.6	3.8	FALSE
4490	3.4	4.0	FALSE
4528	4.2	4.4	TRUE
4552	2.8	3.6	FALSE
4569	1.0	1.6	FALSE
4614	3.2	4.4	FALSE
4616	4.0	4.4	TRUE
4623	4.2	4.8	TRUE
4624	4.8	5.0	TRUE
4632	2.5	3.5	FALSE
4653	1.2	2.6	FALSE
4680	3.4	3.6	FALSE
4716	4.2	4.4	TRUE
4728	3.4	3.4	FALSE
4734	1.4	2.8	FALSE
4743	1.4	1.4	FALSE
4754	4.7	4.9	TRUE
4776	1.0	2.5	FALSE
4791	3.5	3.5	FALSE
4806	1.0	1.0	FALSE
4807	1.5	1.25	FALSE
4809	2.6	4.2	FALSE
4813	3.8	3.8	FALSE
4833	4.2	5.0	TRUE
4861	2.0	2.4	FALSE
4862	1.8	3.0	FALSE
4874	1.4	2.4	FALSE
4893	1.5	2.9	FALSE
4937	1.8	3.0	FALSE
4944	4.8	4.8	TRUE
4945	3.4	4.6	FALSE
4964	1.25	2.25	FALSE
4965	1.2	2.6	FALSE
4990	3.4	4.6	FALSE
4997	1.75	2.0	FALSE
4999	3.4	4.6	FALSE
5017	2.2	2.8	FALSE
5043	2.6	3.6	FALSE
5054	1.2	2.8	FALSE
5059	1.0	1.2	FALSE
5100	1.0	2.111111111111110	FALSE
5123	2.4	3.0	FALSE
5125	1.0	1.0	FALSE
5136	2.4	3.8	FALSE
5137	3.6	4.2	FALSE
5139	1.6	2.4	FALSE
5142	2.6	4.4	FALSE
5144	2.8	4.3	FALSE
5186	1.5	4.25	FALSE
5197	2.0	2.2	FALSE
5203	1.6	1.8	FALSE
5214	1.6	2.4	FALSE
5215	1.2	1.8	FALSE
5217	1.6	3.0	FALSE
5234	1.2	2.4	FALSE
5246	1.6	3.4	FALSE
5266	1.2	2.4	FALSE
5278	4.2	4.6	TRUE
5298	2.2	2.6	FALSE
5315	4.1	4.6	TRUE
5325	3.6	4.0	FALSE
5339	1.4	1.8	FALSE
5341	1.0	2.0	FALSE
5358	3.2	4.2	FALSE
5456	4.1	4.5	TRUE
5458	3.8	4.0	FALSE
5474	1.6	3.2	FALSE
5489	2.6666666666666700	3.733333333333330	FALSE
